Amount,Tenor,MVC,ACR,Balloon,Finance,DWT,Age,Experience,Fleet_Size,Leverage,BDI,Spread,Defaulted
130683192,11,47856186,9.04,1,1,43624,24,25,18,0.12,784,2.16,1
198466162,7,247150066,6.97,0,0,43321,6,26,21,0.8,4247,3.21,1
60831368,3,58673237,6.12,0,1,161560,23,11,42,0.52,1262,2.97,1
15959014,5,75293686,7.1,1,1,42574,3,38,36,0.85,2928,0.91,0
61972561,12,11983509,5.55,0,0,156312,17,2,41,0.74,3007,2.52,1
53900483,14,127556893,7.61,0,0,194293,5,7,38,0.9,528,1.6,1
25193880,10,162516645,2.83,0,0,161550,12,18,34,0.38,1406,2.59,0
125826171,13,187780965,6.46,1,0,170334,18,27,17,0.71,3604,1.52,1
8385357,8,87729132,3.61,1,1,138831,14,34,37,0.42,4499,4.7,0
49738553,10,221493426,3.34,1,0,155504,21,27,25,0.48,3494,1.37,0
73574553,11,83214389,4.89,1,0,115257,24,17,38,0.6,3006,5.3,1
156063092,6,143568263,3.14,1,0,84291,11,24,12,0.8,4109,2.58,1
191375041,3,36365210,3.16,1,0,147600,9,25,23,0.89,4053,4.73,1
16392366,3,202463073,4.68,1,0,70428,2,7,42,0.71,1953,3.64,0
93883975,12,171398036,9.36,0,0,151374,12,6,22,0.43,3856,4.18,0
152697582,6,21326237,3.73,0,1,151127,3,24,21,0.44,1015,4.34,1
152405005,14,96343264,2.62,0,1,131317,3,33,27,0.69,538,3.02,1
73979792,9,71864219,7.84,0,0,159789,1,29,31,0.29,3842,3.22,0
42709731,4,198652398,8.15,0,0,147449,8,22,6,0.19,1386,3.07,0
166156967,5,246299199,4.92,0,0,48699,22,26,27,0.38,3344,3.44,1
28027075,3,231910496,5.75,0,1,93686,8,28,40,0.33,2704,0.65,0
91191493,7,43255876,7.05,1,0,87661,11,21,34,0.34,1598,2.48,0
92796277,3,193331835,2.84,1,1,64247,9,7,12,0.29,2323,3.53,0
27335235,10,160118204,9.14,0,0,167820,5,17,45,0.13,3701,3.49,0
139489564,3,142166290,8.71,0,0,125113,14,20,7,0.11,3655,4.46,0
142802430,13,50820227,4.33,1,0,24621,3,20,10,0.89,3593,3.78,1
132924625,3,114436258,2.61,0,0,166106,21,22,45,0.44,4030,5.46,1
112944665,4,89688895,9.03,0,1,156198,5,28,17,0.41,4278,1.92,0
57631083,4,97927856,6.01,1,1,156194,5,7,26,0.64,3396,2.3,0
13585377,14,197276799,6.28,0,0,38030,19,1,21,0.27,3953,2.42,0
91544585,8,233813648,7.29,1,0,102838,14,32,28,0.86,4011,2.83,1
90157821,9,22707035,6.81,0,1,104717,4,13,46,0.73,1488,4.68,1
157041741,7,149348125,9.11,1,1,58638,13,30,2,0.17,4616,1.68,0
175819422,3,80560220,9.11,1,1,87067,10,23,43,0.43,4526,4.38,0
65304654,3,136960685,8.57,1,1,138033,18,19,1,0.8,4679,2.53,0
116636935,5,181216244,6.95,0,0,125977,8,32,36,0.86,2182,3.51,1
39119117,4,46481541,8.11,1,1,108869,8,30,26,0.47,4463,3.66,0
41433622,7,76385640,7.24,0,0,125186,7,29,29,0.59,1433,2.36,0
94482491,14,76880548,6.51,0,1,54674,8,29,21,0.23,4098,3.06,0
199249720,12,239001495,3.4,0,1,186926,14,30,11,0.89,3733,2.57,1
106670589,8,88384476,8.18,0,1,66271,19,16,40,0.29,2480,0.85,0
60105831,9,238424176,8.24,1,1,93688,6,19,11,0.85,2355,2.69,0
142584340,6,236623789,6.88,1,1,189590,1,18,36,0.62,3556,0.99,0
63743503,9,135218996,8.24,0,0,131076,23,1,49,0.59,1292,2.53,1
96693393,13,52058334,7.06,0,0,161339,15,14,39,0.51,1291,3.46,1
175476398,10,122184418,3.95,1,1,21062,1,2,40,0.28,2309,3.4,0
74739572,13,193960251,4.42,0,1,70448,17,28,35,0.24,2755,3.81,0
109157975,3,183986784,4.0,1,0,115462,1,30,34,0.28,4110,0.98,0
195066585,8,65174259,5.14,0,1,157301,15,38,47,0.25,2107,3.76,1
124208152,10,200906558,2.77,0,1,67915,23,4,24,0.72,1484,2.06,1
137862715,7,249216892,6.83,1,0,24632,2,1,22,0.38,4176,2.5,0
196273147,6,53369428,4.86,0,1,124592,14,8,5,0.15,3880,4.79,0
188378299,4,24650271,7.09,1,1,154668,21,29,33,0.88,1019,0.55,1
116665644,8,175943254,5.2,0,0,129779,8,39,36,0.81,1090,3.44,1
73394024,8,89348896,7.27,0,0,157240,8,3,47,0.84,1550,3.49,1
177945196,13,28992383,4.88,0,0,128099,19,32,20,0.9,4133,2.48,1
56757120,3,215212994,4.32,1,1,27561,7,10,19,0.24,4944,1.69,0
72157848,11,201094911,5.97,0,0,102152,19,10,35,0.42,1459,1.67,1
100540567,14,94574185,7.35,0,0,145036,6,19,43,0.71,1192,4.92,1
90390464,13,146206901,4.94,0,0,144049,6,34,17,0.66,4399,2.71,0
53170987,8,46635193,9.06,0,0,46734,3,33,45,0.22,4973,2.15,0
191780295,5,246295490,2.77,1,0,157443,7,23,43,0.75,3446,2.74,1
28717335,6,42474983,5.43,1,0,46069,19,28,34,0.28,1026,3.85,0
65472382,14,43999533,9.27,0,1,32910,8,32,9,0.28,3724,1.23,0
17719242,13,158934423,6.34,1,1,93479,10,7,26,0.53,2753,2.75,0
53715250,6,101992689,5.46,0,0,101264,20,29,2,0.57,3844,3.44,0
88139152,5,235516831,6.48,0,0,43275,15,8,9,0.56,4465,5.24,0
107400391,12,208184878,6.53,0,0,92274,15,1,9,0.17,2375,1.76,0
183271906,5,235717077,7.62,1,1,120776,1,3,40,0.8,2263,2.3,1
177552610,5,208198934,3.39,1,1,68447,20,24,17,0.31,1020,2.4,1
96355424,6,74785345,4.25,1,1,185601,7,23,1,0.2,1516,3.53,0
191659194,9,27882750,6.56,1,1,146394,4,8,25,0.81,616,2.28,1
54583876,6,88725274,8.57,1,1,95703,6,37,43,0.86,2933,3.17,0
116999993,11,204521577,6.43,1,1,96090,1,3,40,0.79,1083,4.41,1
176625499,3,20192257,4.17,1,1,37260,5,33,42,0.75,894,4.03,1
166226952,10,53167705,7.26,1,1,132581,23,28,25,0.62,4288,2.73,1
56327755,9,238786960,7.68,1,1,23812,1,8,39,0.54,3268,4.82,0
84018913,4,165348071,4.17,0,0,179096,4,34,35,0.17,4667,3.29,0
146347872,10,50869792,5.14,1,0,136148,22,35,3,0.43,4360,3.2,1
9545583,3,59913224,6.24,1,0,178357,2,32,37,0.4,773,0.67,0
193296765,13,74356138,5.98,1,0,136421,10,24,44,0.31,2513,5.43,1
59474455,14,101959541,5.23,1,1,21605,5,14,44,0.68,4933,1.11,0
180760164,11,211825455,4.58,1,1,92303,10,32,30,0.5,1889,1.66,1
185844642,11,236860070,3.2,1,0,178211,1,16,38,0.16,4066,0.76,0
128685547,4,197225564,2.87,1,1,96125,22,4,34,0.28,665,3.7,1
58933927,9,209759529,9.21,1,0,164990,6,37,12,0.65,2067,1.62,0
111179285,12,202332313,8.43,1,1,178518,13,21,19,0.16,1228,1.4,0
57453338,5,36658609,4.98,1,0,144040,15,14,37,0.78,2543,0.94,1
154099456,9,244386328,9.2,1,1,164118,4,31,44,0.5,4697,1.02,0
39045666,14,220512279,7.24,0,1,175890,13,18,49,0.48,3996,3.42,0
151939822,12,174241932,5.88,0,0,24324,24,7,17,0.57,1278,3.94,1
115573005,11,92008891,5.95,1,1,96323,20,10,10,0.76,713,2.49,1
161396162,6,58715257,3.08,1,0,29111,24,7,49,0.38,4262,2.9,1
51321408,14,32268806,3.14,0,0,189182,15,33,47,0.64,2076,3.93,1
152014660,3,16512440,6.72,1,0,36389,8,23,12,0.55,2948,0.59,1
95053374,4,22431395,6.38,0,0,142177,5,21,16,0.31,3436,2.12,0
31063245,3,217426220,3.99,0,1,61427,15,19,24,0.8,3617,5.37,0
178660954,14,39093907,9.12,0,1,179818,4,19,19,0.74,1091,3.4,1
102636744,7,117219264,7.97,0,1,142883,12,36,8,0.63,3220,1.77,1
104483854,7,46253447,3.29,0,0,151189,13,29,31,0.78,1213,3.11,1
114174313,13,72134783,9.02,1,1,145808,2,18,21,0.79,1435,2.21,1
12887739,9,103560813,9.32,0,0,132221,19,2,17,0.67,4837,3.16,0
199954700,11,206678031,9.47,1,1,33234,19,1,23,0.77,501,1.13,1
66071026,11,228049165,2.89,1,1,73441,4,5,37,0.66,3348,1.16,0
139987326,5,74447435,7.66,0,1,20846,4,20,16,0.64,4544,1.22,0
94178975,5,59895282,6.32,0,0,30954,11,11,6,0.59,2449,5.2,1
54007334,5,119500886,7.44,1,1,99239,5,2,8,0.7,1417,4.16,0
167651376,6,128613134,9.28,0,1,66514,20,3,25,0.23,3674,1.31,1
12971379,10,12503771,7.32,0,0,108236,11,23,18,0.8,2741,1.44,0
8331068,8,80286689,8.36,1,1,117579,10,12,25,0.8,589,4.15,1
41810847,10,145213889,8.57,1,0,157541,8,20,12,0.12,2209,1.28,0
